GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms_producto,com.producto.ms_producto.model,Producto,11,0,2,0,4,0,2,0,1,0
ms_producto,com.producto.ms_producto,MsProductoApplication,8,0,0,0,3,0,2,0,2,0
ms_producto,com.producto.ms_producto.service.impl,ProductoServiceImpl,43,164,0,0,17,62,2,11,2,11
ms_producto,com.producto.ms_producto.exception,GlobalExceptionHandler,13,0,0,0,5,0,2,0,2,0
ms_producto,com.producto.ms_producto.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms_producto,com.producto.ms_producto.controller,ProductoController,57,0,0,0,19,0,9,0,9,0
