GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms_resena,com.resena.ms_resena,MsResenaApplication,8,0,0,0,3,0,2,0,2,0
ms_resena,com.resena.ms_resena.service.impl,ResenaServiceImpl,47,201,0,0,19,83,2,14,2,14
ms_resena,com.resena.ms_resena.controller,ResenaController,51,0,0,0,17,0,8,0,8,0
ms_resena,com.resena.ms_resena.exception,GlobalExceptionHandler,13,0,0,0,5,0,2,0,2,0
ms_resena,com.resena.ms_resena.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms_resena,com.resena.ms_resena.model,Resena,4,0,0,0,2,0,1,0,1,0
