GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-favorito,com.example.ms_favorito.controller,FavoritoController,54,0,0,0,29,0,6,0,6,0
ms-favorito,com.example.ms_favorito.config,WebClientConfig,8,0,0,0,4,0,2,0,2,0
ms-favorito,com.example.ms_favorito.service.impl,FavoritoServiceImpl,10,155,0,0,4,63,2,10,2,10
ms-favorito,com.example.ms_favorito,MsFavoritoApplication,8,0,0,0,3,0,2,0,2,0
ms-favorito,com.example.ms_favorito.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-favorito,com.example.ms_favorito.exception,GlobalExceptionHandler,59,0,0,0,29,0,3,0,3,0
ms-favorito,com.example.ms_favorito.model,Favorito,4,0,0,0,2,0,1,0,1,0
ms-favorito,com.example.ms_favorito.client,ProductoClient,52,4,0,0,16,1,2,1,2,1
